An	Durata	Vizionari	 nr_viz  Titlu	Categorie	Premii					
1990	93	1500	Web of Deceit	Drama	Nu					
1987	93	4500	"Planes, Trains & Automobiles"	Comedy	Nu					
1988	93	1500	"Diamond Trap, The"	Drama	Nu					
1963	93	4000	Lilies of the Field	Drama	Da					
1986	93	5000	Ruthless People	Comedy	Nu					
1987	93	5500	Some Kind of Wonderful	Drama	Nu					
1989	93	1000	Cookie	Comedy	Nu					
1975	93	5000	That Lucky Touch	Action	Nu					
1970	93	4000	Powderkeg	Western	Nu					
1982	93	4500	Class of 1984	Drama	Nu					
1973	93	2000	Santee	Western	Nu					
1952	93	5500	"Othello, The Lost Masterpiece"	Drama	Nu					
1980	93	2500	Cry of the Innocent	Drama	Nu					
1978	94	1000	Days of Heaven	Drama	Nu					
1970	94	3000	Think Dirty	Comedy	Nu					
1969	94	4000	Easy Rider	Drama	Nu					
1982	94	6000	"Eyes of the Amaryllis, The"	Drama	Nu					
1984	94	3500	Best Defense	Comedy	Nu					
1990	94	1000	Snow Kill	Drama	Nu					
1981	94	5000	Looker	Science Fiction	Nu					
1987	94	3500	Kandyland	Drama	Nu					
1987	94	5000	Campus Man	Drama	Nu					
1990	94	2500	"Rain Killer, The"	Mystery	Nu					
